ID,Original,Tradução
/EE3865524AF1E541241F0789FCB83EB5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer mattis, erat eget accumsan semper, ligula nisi dapibus dui, in fermentum erat neque sit amet magna. Nullam ac lectus augue. Suspendisse ultricies id ex nec posuere. In orci mi, sollicitudin et pulvinar in, dictum at nibh. Fusce fringilla, erat quis aliquam sodales, justo turpis cursus elit, et finibus metus elit ac leo. Cras semper dui lorem, et vestibulum tortor cursus eget. Proin pharetra, sem in venenatis aliquam, nisl orci tempor nulla, et egestas elit lacus eget erat. Integer interdum consequat tortor, ut egestas libero porta sit amet. In eu rhoncus nisi.
Mauris leo massa, bibendum sit amet lectus blandit, tristique suscipit est. Vestibulum est lectus, fringilla quis fringilla eu, commodo et nulla. Sed condimentum ante vel ante tincidunt, non faucibus nulla ultricies. Etiam finibus tellus vehicula, suscipit nisi sed, placerat ligula. Aenean felis mi, placerat eu nisi rhoncus, ullamcorper maximus tortor. Quisque condimentum odio vitae ullamcorper efficitur. Sed ac scelerisque lacus. Maecenas metus purus, congue sed leo eget, feugiat faucibus mauris. Etiam pharetra ante lacus, id posuere orci euismod at. Donec congue nunc dolor, sed congue risus dictum mattis. Etiam id ipsum lectus. Nulla sollicitudin arcu id sem ultricies, et pretium ligula scelerisque.
Cras eu enim a diam congue euismod. Nam eu mi felis. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras ultricies eu orci quis ultricies. Cras metus dolor, porta quis nunc ac, rutrum accumsan neque. Proin condimentum, arcu ac gravida vehicula, massa quam bibendum sapien, nec dictum elit ante et libero. Aenean dignissim faucibus purus non vestibulum. Proin nec mauris gravida, scelerisque augue sed, egestas justo. Donec at blandit nibh, sit amet laoreet nibh. Donec mattis euismod eros at finibus. Phasellus pretium viverra quam, eget facilisis massa tempor ut. Suspendisse ante sem, faucibus non urna nec, finibus rutrum nisl. Quisque mollis semper lacus. Maecenas dui odio, posuere a erat vitae, commodo condimentum lacus. Aenean ac augue elementum odio dictum lobortis eget dapibus velit. Suspendisse imperdiet nec ex nec molestie.
Maecenas enim sapien, auctor eu risus rutrum, mollis mattis enim. Aliquam sagittis dapibus ornare. Proin ultrices, nibh volutpat tempor viverra, ligula justo cursus nisi, eu iaculis felis metus id dui. Cras aliquet nec neque et cursus. Nunc non mauris maximus, placerat eros a, imperdiet dui. Integer sit amet ornare erat. Phasellus hendrerit pulvinar enim. Morbi sed sagittis nisi, a auctor ligula. Vestibulum condimentum posuere ultrices. Etiam et augue non elit consequat dictum. Integer facilisis fringilla mi. Donec iaculis eros vel lacus congue, ac laoreet tortor efficitur. Suspendisse potenti.
Curabitur vel malesuada nibh. Ut posuere sollicitudin diam, nec fringilla odio imperdiet in. Sed vehicula, dolor ut consectetur accumsan, felis erat condimentum dui, id commodo arcu orci eget velit. Sed vitae nunc ante. Maecenas vitae vulputate nunc. Integer sagittis mattis efficitur. Pellentesque in lectus rutrum, vestibulum eros at, pellentesque ante. In convallis ipsum id libero pretium placerat. Praesent sit amet risus ac mi faucibus consectetur non eget ipsum. Phasellus semper finibus massa quis dignissim. Etiam dapibus velit sit amet enim pulvinar, vel tempus sapien congue. Praesent pellentesque rutrum dolor, in lobortis dolor molestie non. Nunc at purus eget magna tristique euismod. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam blandit dictum tincidunt.
Donec eu velit et augue vehicula lacinia. Aenean ullamcorper odio suscipit feugiat faucibus. Duis consequat arcu odio, ut hendrerit dolor convallis eu. Fusce leo libero, euismod at dapibus ut, imperdiet in sapien. Suspendisse nec tempus purus, sed efficitur sem. Nunc vulputate suscipit erat, id ultricies magna ullamcorper et. Praesent id ante auctor neque egestas laoreet. Nulla porttitor tellus sed turpis gravida, et malesuada odio rhoncus. Donec maximus imperdiet tortor, quis suscipit neque ornare vel. Maecenas porta gravida augue at placerat. Curabitur sed dictum purus. Morbi vitae risus ut libero fringilla vehicula in sit amet felis. Duis lacinia turpis nisi, non sollicitudin nulla scelerisque quis. Sed eros risus, porttitor ullamcorper purus non, tempor pellentesque leo. Duis fermentum imperdiet massa, at vestibulum massa posuere et. Mauris vestibulum neque mi, ut porttitor tellus tempus a.
Suspendisse potenti. Cras vitae tincidunt lacus. Maecenas mauris orci, faucibus non velit nec, suscipit eleifend metus. Pellentesque nec nibh sodales leo commodo suscipit. Maecenas et mi dapibus, fringilla libero eu, vestibulum arcu. Morbi lobortis massa interdum sem tincidunt consequat. Nulla ante justo, pellentesque vel tincidunt dapibus, tempus ut massa. Sed feugiat hendrerit libero, id luctus orci. Nullam dignissim, velit nec luctus tristique, risus ante hendrerit risus, quis sollicitudin lorem mauris vel elit. Proin lacus dolor, rutrum in imperdiet sed, volutpat eu velit. Donec a felis maximus, gravida diam at, feugiat turpis. Duis auctor diam at tincidunt maximus.
Cras suscipit et ipsum vel blandit. Ut vitae commodo velit. Nam maximus lobortis justo, quis tempus lorem convallis quis. Donec dapibus sed neque sed molestie. Sed at egestas ipsum. Maecenas aliquet suscipit laoreet. Donec et odio et quam sodales euismod. Sed tincidunt mi vitae quam fringilla, in aliquet eros aliquet. Suspendisse mattis at enim vitae interdum. Etiam eu elit diam. Aliquam scelerisque velit diam. Donec nec scelerisque ligula, at consequat sapien. Ut cursus tortor quis eros mattis, ac semper mauris pulvinar. Ut maximus eu sem non cursus. Phasellus aliquam elit augue, sit amet iaculis metus fringilla eget.
Nulla pulvinar ex eget eros sodales laoreet. Donec sagittis non metus vel dapibus. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Quisque bibendum non risus ut cursus. Nullam iaculis pretium ipsum eu bibendum. Vivamus hendrerit felis vel orci faucibus venenatis. Ut semper lacus eget enim consequat, nec varius diam facilisis. Nam in quam nec magna varius cursus eget eget ligula. Nulla ut urna mollis, eleifend dolor sit amet, convallis lacus.
Pellentesque ut suscipit sapien, egestas dapibus quam. Vestibulum nec purus leo. Phasellus scelerisque lacus eu justo auctor, vel elementum arcu bibendum. Donec magna ex, lacinia a orci at, imperdiet scelerisque leo. Integer non lectus sit amet libero aliquam tempor. Vivamus consectetur mattis turpis eleifend eleifend. Sed dictum nunc nibh, vel placerat felis congue nec. Duis pellentesque eros blandit ipsum ullamcorper finibus. Proin fermentum, purus at venenatis pharetra, dolor arcu sodales nisi, eget dictum ante justo nec eros. Nulla rhoncus orci metus, vitae feugiat ex fermentum varius. Sed eu sapien lorem. Pellentesque pulvinar diam et euismod suscipit.",[TOO LONG]
/9F2DD4D94ECBA40D471FE5A547AE5FA8,/,/
/033A192F4A41EE108C6F2F99FA28EF3C,Damage Type Earth,Dano de Tipo Terra
/A0686CF14224436E24959395BD8DEF16,"You can see spaces where something might be placed, perhaps a horn of some kind?","Você pode ver espaços onde algo pode ser colocado, talvez um tipo de chifre?"
/A05BBE3E4500B64ED267E795137EA9BD,is too sheltered.,está muito protegido.
/F39FD01C47A008CF8FD4799E0986DF64,is too sheltered.,está muito protegido.
/306A4C024CAB2BC85012F58C6647DCBC,must not be covered by a roof.,não pode estar coberto por um teto.
/EBDDA41648B3DF39BBCE2BAE394F430F,must not be covered by a roof.,não pode estar coberto por um teto.
/301D52904C73B7ED47FEAA9FB899981E,sec,Sec
/5063FD824DF0712F777C4C83EEF9CCA3,##,##
/5F0614D448C7691209324083E82A8BA7,(Agility) Evade Stamina Cost Modifier,(Agilidade) Modificador de Custo de Stamina para Desviar
/77080F52498BF87512740E80C2099C14,(Agility) Jump Height Modifier,(Agilidade) Modificador de Altura de Salto
/3EB89DE747CB2B1E91D83CBEF2F1D03F,(Agility) Jump Stamina Cost Modifier,(Agilidade) Modificador de Custo de Stamina ao Pular
/F36409A54CE704F154506291FCCC8CD6,(Agility) Run Speed Modifier,(Agilidade) Modificador de Velocidade de Corrida
/656F0681413833E76A62C4A54D1CB2E1,(Agility) Sprint Speed Modifier,(Agilidade) Modificador de Velocidade de Sprint
/B465E5A141AC41DD5AB25DBA5DF15948,(Agility) Sprint Stamina Cost Modifier,(Agilidade) Modificador de Custo de Stamina ao Sprintar
/B1933AEE4753E365C79755B2B52B729F,(Artisan) Increase Repair Cost Refund Chance,(Artesanato) Aumenta a Chance de Reembolso do Custo de Reparo
/BD97BD56402B009C885A79B82410BB34,(Artisan) Reduce Melee Attack Durability Loss,(Artesanato) Reduz a Perda de Durabilidade no Ataque Corpo a Corpo
/A0CB32C247FB6FB78A8A7EA23CB2968A,(Attack) Increase Crit Chance Base,(Ataque) Aumenta a Chance Base de Crítico
/723A10394C27DE0CE6EA8EB606FB2F09,(Attack) Increase Crit Hit Damage Factor Base,(Ataque) Aumenta a Base do Fator de Dano de Crítico
/C14CF78D4D0F9096BDD0B0940406F838,(Attack) Reduce Stamina Cost,(Ataque) Reduz o Custo de Stamina
/99E844B34A0D5B5279616AB19997FFDC,(Cooking) Extra Food Chance,(Culinária) Chance Extra de Obter Comida
/9DB905564D9988E1A884019737ACB196,(Cooking) Food Buff Duration,(Culinária) Duração do Buff de Comida
/55B14EF34F43B6C16670F798F3268EA1,(Defence) Block Damage Modifier,(Defesa) Modificador de Dano ao Bloqueio
/1C4E386C4788BCCFB524C9866FE3CFE7,(Defence) Block Stamina Cost Modifier,(Defesa) Modificador de Custo de Stamina ao Bloquear
/A68D8A9545FC6218BD2FBD83841FACCC,(Defence) Block Stamina Regen Penalty,(Defesa) Penalidade de Regeneração de Stamina ao Bloquear
/70A20EEB44C3492E960DE8971C638FA8,(Herblore) Extra Potion Chance,(Herbalismo) Chance Extra de Poção
